Instance,Terminal,Layer,X location,Y location,Voltage
TAP_TAPCELL_ROW_18_99,VPWR,li1,70.1500,62.2530,1.799542
TAP_TAPCELL_ROW_18_98,VPWR,li1,44.3900,62.2530,1.799632
TAP_TAPCELL_ROW_18_97,VPWR,li1,18.6300,62.2530,1.799837
TAP_TAPCELL_ROW_17_96,VPWR,li1,57.2700,57.4260,1.799715
TAP_TAPCELL_ROW_17_95,VPWR,li1,31.5100,57.4260,1.799798
TAP_TAPCELL_ROW_16_94,VPWR,li1,70.1500,56.8130,1.799695
TAP_TAPCELL_ROW_16_93,VPWR,li1,44.3900,56.8130,1.799753
TAP_TAPCELL_ROW_16_92,VPWR,li1,18.6300,56.8130,1.799859
TAP_TAPCELL_ROW_15_91,VPWR,li1,57.2700,51.9860,1.799754
TAP_TAPCELL_ROW_15_90,VPWR,li1,31.5100,51.9860,1.799852
TAP_TAPCELL_ROW_14_89,VPWR,li1,70.1500,51.3730,1.799729
TAP_TAPCELL_ROW_14_88,VPWR,li1,44.3900,51.3730,1.799800
TAP_TAPCELL_ROW_14_87,VPWR,li1,18.6300,51.3730,1.799916
TAP_TAPCELL_ROW_13_86,VPWR,li1,57.2700,46.5460,1.799687
TAP_TAPCELL_ROW_13_85,VPWR,li1,31.5100,46.5460,1.799829
TAP_TAPCELL_ROW_12_84,VPWR,li1,70.1500,45.9330,1.799665
TAP_TAPCELL_ROW_12_83,VPWR,li1,44.3900,45.9330,1.799745
TAP_TAPCELL_ROW_12_82,VPWR,li1,18.6300,45.9330,1.799888
TAP_TAPCELL_ROW_11_81,VPWR,li1,57.2700,41.1060,1.799604
TAP_TAPCELL_ROW_11_80,VPWR,li1,31.5100,41.1060,1.799766
TAP_TAPCELL_ROW_10_79,VPWR,li1,70.1500,40.4930,1.799579
TAP_TAPCELL_ROW_10_78,VPWR,li1,44.3900,40.4930,1.799643
TAP_TAPCELL_ROW_10_77,VPWR,li1,18.6300,40.4930,1.799848
TAP_TAPCELL_ROW_9_76,VPWR,li1,57.2700,35.6660,1.799709
TAP_TAPCELL_ROW_9_75,VPWR,li1,31.5100,35.6660,1.799793
TAP_TAPCELL_ROW_8_74,VPWR,li1,70.1500,35.0530,1.799698
TAP_TAPCELL_ROW_8_73,VPWR,li1,44.3900,35.0530,1.799726
TAP_TAPCELL_ROW_8_72,VPWR,li1,18.6300,35.0530,1.799883
TAP_TAPCELL_ROW_7_71,VPWR,li1,57.2700,30.2260,1.799484
TAP_TAPCELL_ROW_7_70,VPWR,li1,31.5100,30.2260,1.799712
TAP_TAPCELL_ROW_6_69,VPWR,li1,70.1500,29.6130,1.799457
TAP_TAPCELL_ROW_6_68,VPWR,li1,44.3900,29.6130,1.799574
TAP_TAPCELL_ROW_6_67,VPWR,li1,18.6300,29.6130,1.799853
TAP_TAPCELL_ROW_5_66,VPWR,li1,57.2700,24.7860,1.799833
TAP_TAPCELL_ROW_5_65,VPWR,li1,31.5100,24.7860,1.799914
TAP_TAPCELL_ROW_4_64,VPWR,li1,70.1500,24.1730,1.799816
TAP_TAPCELL_ROW_4_63,VPWR,li1,44.3900,24.1730,1.799855
TAP_TAPCELL_ROW_4_62,VPWR,li1,18.6300,24.1730,1.799955
TAP_TAPCELL_ROW_3_61,VPWR,li1,57.2700,19.3460,1.799870
TAP_TAPCELL_ROW_3_60,VPWR,li1,31.5100,19.3460,1.799928
TAP_TAPCELL_ROW_2_59,VPWR,li1,70.1500,18.7330,1.799858
TAP_TAPCELL_ROW_2_58,VPWR,li1,44.3900,18.7330,1.799890
TAP_TAPCELL_ROW_2_57,VPWR,li1,18.6300,18.7330,1.799963
TAP_TAPCELL_ROW_1_56,VPWR,li1,57.2700,13.9060,1.799885
TAP_TAPCELL_ROW_1_55,VPWR,li1,31.5100,13.9060,1.799945
TAP_TAPCELL_ROW_0_54,VPWR,li1,70.1500,13.2930,1.799869
TAP_TAPCELL_ROW_0_53,VPWR,li1,57.2700,13.2930,1.799885
TAP_TAPCELL_ROW_0_52,VPWR,li1,44.3900,13.2930,1.799907
TAP_TAPCELL_ROW_0_51,VPWR,li1,31.5100,13.2930,1.799945
TAP_TAPCELL_ROW_0_50,VPWR,li1,18.6300,13.2930,1.799971
PHY_EDGE_ROW_24_Left_49,VPWR,li1,6.2100,78.8800,1.799933
PHY_EDGE_ROW_23_Left_48,VPWR,li1,6.2100,73.4400,1.799916
PHY_EDGE_ROW_22_Left_47,VPWR,li1,6.2100,73.4400,1.799916
PHY_EDGE_ROW_21_Left_46,VPWR,li1,6.2100,68.0000,1.799869
PHY_EDGE_ROW_20_Left_45,VPWR,li1,6.2100,68.0000,1.799869
PHY_EDGE_ROW_19_Left_44,VPWR,li1,6.2100,62.5600,1.799813
PHY_EDGE_ROW_18_Left_43,VPWR,li1,6.2100,62.5600,1.799813
PHY_EDGE_ROW_17_Left_42,VPWR,li1,6.2100,57.1200,1.799840
PHY_EDGE_ROW_16_Left_41,VPWR,li1,6.2100,57.1200,1.799840
PHY_EDGE_ROW_15_Left_40,VPWR,li1,6.2100,51.6800,1.799916
PHY_EDGE_ROW_14_Left_39,VPWR,li1,6.2100,51.6800,1.799916
PHY_EDGE_ROW_13_Left_38,VPWR,li1,6.2100,46.2400,1.799869
PHY_EDGE_ROW_12_Left_37,VPWR,li1,6.2100,46.2400,1.799869
PHY_EDGE_ROW_11_Left_36,VPWR,li1,6.2100,40.8000,1.799835
PHY_EDGE_ROW_10_Left_35,VPWR,li1,6.2100,40.8000,1.799835
PHY_EDGE_ROW_9_Left_34,VPWR,li1,6.2100,35.3600,1.799883
PHY_EDGE_ROW_8_Left_33,VPWR,li1,6.2100,35.3600,1.799883
PHY_EDGE_ROW_7_Left_32,VPWR,li1,6.2100,29.9200,1.799853
PHY_EDGE_ROW_6_Left_31,VPWR,li1,6.2100,29.9200,1.799853
PHY_EDGE_ROW_5_Left_30,VPWR,li1,6.2100,24.4800,1.799955
PHY_EDGE_ROW_4_Left_29,VPWR,li1,6.2100,24.4800,1.799955
PHY_EDGE_ROW_3_Left_28,VPWR,li1,6.2100,19.0400,1.799963
PHY_EDGE_ROW_2_Left_27,VPWR,li1,6.2100,19.0400,1.799963
PHY_EDGE_ROW_1_Left_26,VPWR,li1,6.2100,13.6000,1.799971
